Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,52%,2812,0.89,9.90,1955,238,11.84,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,54%,2961,0.93,10.70,2008,257,11.53,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,56%,3195,1.01,12.00,2073,288,11.09,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,58%,3344,1.06,13.00,2129,312,10.72,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,60%,3502,1.13,14.20,2174,341,10.28,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,62%,3669,1.13,14.70,2223,353,10.4,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,64%,3833,1.21,16.20,2286,389,9.86,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,66%,4005,1.24,17.10,2348,410,9.76,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,68%,4214,1.3,18.40,2400,442,9.54,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,70%,4365,1.34,19.50,2432,468,9.33,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,75%,4782,1.44,22.50,2541,540,8.86,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,80%,5184,1.53,25.40,2662,610,8.5,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,90%,6026,1.73,32.20,2866,773,7.8,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,100%,7334,2.13,43.70,3125,1049,6.99,HOT (Ambient Temperature: 27.9℃)
